transaction_id,customer_id,date,product_id,quantity,price,payment_method,channel,store_id,promotion_id,discount_amount
8613,683,2023-11-30,6,1,2.92,Credit Card,Online,,,0.0
1144,166,2023-11-30,15,1,3.67,Credit Card,Online,,2.0,0.37
9130,263,2023-11-30,21,1,6.37,Mobile Pay,In-store,5.0,,0.0
6649,576,2023-11-30,15,1,3.16,Mobile Pay,In-store,2.0,,0.0
88,276,2023-11-30,15,1,4.54,Credit Card,Online,,8.0,0.45
6754,280,2023-11-30,21,1,3.92,Credit Card,Online,,4.0,0.39
10653,478,2023-11-30,21,7,4.35,Mobile Pay,In-store,2.0,,0.0
2589,231,2023-11-30,21,1,2.27,Cash,Online,,,0.0
877,467,2023-11-30,5,1,2.62,Mobile Pay,In-store,4.0,7.0,0.26
1858,310,2023-11-30,15,1,3.95,Cash,In-store,2.0,,0.0
3232,340,2023-12-01,15,8,3.86,Credit Card,In-store,4.0,,0.0
1300,623,2023-12-01,15,3,3.21,Mobile Pay,In-store,4.0,,0.0
4545,454,2023-12-01,5,2,5.9,Credit Card,Online,,,0.0
7275,452,2023-12-01,5,1,8.91,Cash,In-store,1.0,,0.0
8759,512,2023-12-01,5,1,2.64,Credit Card,In-store,5.0,7.0,0.26
8763,106,2023-12-01,15,1,3.08,Mobile Pay,In-store,2.0,,0.0
3635,608,2023-12-01,15,4,3.8,Cash,Online,,,0.0
8903,511,2023-12-01,21,3,6.29,Credit Card,Online,,,1.26
6225,161,2023-12-01,21,5,5.13,Cash,Online,,10.0,2.05
6516,177,2023-12-01,5,1,2.79,Mobile Pay,In-store,1.0,,0.0
6132,177,2023-12-01,21,1,6.23,Credit Card,In-store,2.0,,0.0
466,324,2023-12-01,15,1,4.01,Cash,Online,,3.0,0.4
5661,639,2023-12-01,6,1,4.17,Credit Card,Online,,,0.0
592,352,2023-12-01,15,1,6.46,Cash,Online,,,0.0
10805,374,2023-12-01,21,1,5.8,Credit Card,In-store,3.0,,0.0
6581,598,2023-12-01,15,1,5.85,Credit Card,Online,,,0.0
5093,450,2023-12-01,6,1,4.4,Cash,In-store,5.0,7.0,0.44
5638,599,2023-12-01,5,1,7.79,Credit Card,In-store,5.0,,0.0
4694,452,2023-12-01,15,2,7.88,Cash,In-store,2.0,,0.0
1994,135,2023-12-01,15,1,3.46,Cash,In-store,1.0,,0.0
8690,639,2023-12-01,21,1,3.83,Credit Card,In-store,3.0,,0.0
2079,410,2023-12-01,5,1,5.94,Credit Card,In-store,5.0,,0.0
3164,137,2023-12-01,21,2,3.02,Credit Card,In-store,5.0,,0.0
2398,678,2023-12-01,15,1,8.87,Cash,Online,,,0.0
5887,448,2023-12-01,21,2,4.79,Mobile Pay,Online,,,0.0
9385,416,2023-12-01,5,1,4.81,Credit Card,In-store,1.0,,0.0
3081,536,2023-12-01,21,1,3.43,Mobile Pay,In-store,5.0,,0.0
2235,690,2023-12-01,15,1,4.88,Credit Card,In-store,2.0,,0.0
2290,717,2023-12-01,21,1,4.34,Credit Card,Online,,,0.0
9466,192,2023-12-01,5,1,4.0,Mobile Pay,In-store,5.0,,0.0
10188,155,2023-12-01,15,1,4.29,Credit Card,Online,,,0.0
5983,268,2023-12-01,5,3,2.03,Mobile Pay,In-store,4.0,,0.0
1822,719,2023-12-01,6,1,3.45,Credit Card,In-store,3.0,9.0,0.35
9923,624,2023-12-01,15,5,3.32,Mobile Pay,Online,,,0.0
9160,197,2023-12-01,5,1,7.64,Mobile Pay,In-store,4.0,,0.0
9373,707,2023-12-01,6,1,5.89,Cash,Online,,8.0,0.59
2300,454,2023-12-01,15,1,7.75,Cash,In-store,3.0,,0.0
2459,713,2023-12-01,5,6,2.2,Mobile Pay,Online,,,0.0
10235,638,2023-12-01,15,2,4.4,Credit Card,In-store,1.0,,0.0
6734,109,2023-12-01,15,1,2.02,Credit Card,Online,,,0.0
1912,209,2023-12-01,5,1,1.77,Mobile Pay,Online,,,0.0
9717,503,2023-12-02,15,2,3.83,Cash,In-store,4.0,,0.0
1849,384,2023-12-02,5,4,3.23,Credit Card,Online,,,0.0
9737,505,2023-12-02,15,1,2.75,Mobile Pay,In-store,4.0,,0.0
5674,315,2023-12-02,21,1,4.04,Credit Card,In-store,3.0,6.0,0.4
5593,435,2023-12-02,15,1,8.86,Credit Card,Online,,,0.0
1127,208,2023-12-02,15,5,4.77,Credit Card,In-store,5.0,,0.0
10816,327,2023-12-02,21,1,4.68,Credit Card,Online,,,0.0
184,347,2023-12-02,6,1,4.04,Mobile Pay,In-store,3.0,,0.0
7775,674,2023-12-02,15,1,5.75,Credit Card,In-store,3.0,9.0,0.57
4695,213,2023-12-02,6,1,4.75,Mobile Pay,Online,,,0.0
481,296,2023-12-02,5,2,2.82,Credit Card,Online,,,0.0
3203,105,2023-12-02,21,5,8.3,Credit Card,In-store,1.0,,0.0
192,620,2023-12-02,15,1,3.19,Mobile Pay,Online,,,0.0
1528,678,2023-12-02,6,1,2.57,Mobile Pay,Online,,,0.0
1431,546,2023-12-02,21,1,2.32,Cash,In-store,2.0,,0.0
7992,608,2023-12-02,6,1,2.23,Cash,In-store,1.0,,0.0
8378,189,2023-12-02,21,4,5.13,Cash,Online,,,0.0
4389,381,2023-12-02,15,2,7.12,Cash,In-store,4.0,7.0,1.42
2836,648,2023-12-02,6,1,5.03,Cash,Online,,,0.0
9148,250,2023-12-02,21,5,5.1,Cash,Online,,,0.0
5532,517,2023-12-02,15,2,8.14,Credit Card,Online,,,0.0
1810,176,2023-12-02,15,2,2.83,Cash,Online,,,0.0
9101,383,2023-12-02,15,1,4.25,Credit Card,In-store,3.0,,0.0
3275,717,2023-12-02,5,1,4.5,Cash,Online,,,0.0
3371,204,2023-12-02,6,1,2.33,Credit Card,In-store,4.0,,0.0
3428,442,2023-12-02,15,1,7.21,Mobile Pay,In-store,1.0,,0.0
3488,636,2023-12-02,21,1,4.59,Mobile Pay,Online,,,0.0
9576,112,2023-12-02,15,1,3.42,Cash,Online,,,0.0
9563,679,2023-12-02,5,1,8.69,Cash,Online,,,0.0
4644,424,2023-12-02,6,2,5.24,Cash,Online,,5.0,1.05
1105,104,2023-12-02,6,1,4.43,Mobile Pay,Online,,,0.0
811,695,2023-12-02,5,1,8.33,Mobile Pay,Online,,,0.0
10515,511,2023-12-02,6,3,5.09,Cash,Online,,,0.0
6098,310,2023-12-02,5,1,8.95,Cash,Online,,3.0,0.89
4349,405,2023-12-02,6,4,7.1,Credit Card,In-store,4.0,,0.0
836,674,2023-12-02,6,1,4.78,Cash,Online,,,0.0
3618,272,2023-12-02,21,1,4.06,Mobile Pay,In-store,1.0,7.0,0.41
7372,251,2023-12-02,21,1,8.56,Mobile Pay,In-store,5.0,,0.0
4225,665,2023-12-02,15,2,4.28,Mobile Pay,Online,,,0.0
10418,546,2023-12-02,6,1,3.16,Credit Card,In-store,1.0,,0.0
10494,361,2023-12-02,6,1,4.23,Cash,In-store,2.0,,0.0
10045,548,2023-12-02,15,4,8.07,Cash,In-store,5.0,,0.0
8482,163,2023-12-02,15,1,4.33,Cash,In-store,2.0,,0.0
6101,421,2023-12-02,6,1,6.96,Cash,Online,,,0.0
6149,623,2023-12-02,15,2,2.85,Mobile Pay,In-store,5.0,,0.0
6341,247,2023-12-02,15,1,3.56,Mobile Pay,In-store,4.0,9.0,0.36
6305,574,2023-12-02,15,1,4.38,Cash,Online,,,0.0
6357,194,2023-12-02,6,1,2.72,Mobile Pay,In-store,2.0,9.0,0.27
5923,174,2023-12-02,15,1,4.71,Credit Card,Online,,,0.0
6160,450,2023-12-02,15,1,7.55,Mobile Pay,Online,,,0.0
7574,399,2023-12-03,6,1,4.56,Cash,Online,,,0.0
809,362,2023-12-03,6,5,3.93,Mobile Pay,Online,,7.0,1.96
3645,248,2023-12-03,15,1,8.68,Credit Card,In-store,3.0,,0.0
3879,472,2023-12-03,5,2,6.49,Credit Card,In-store,5.0,,0.0
1146,226,2023-12-03,15,1,5.03,Mobile Pay,Online,,,0.0
2968,492,2023-12-03,21,1,4.85,Mobile Pay,Online,,,0.0
3870,401,2023-12-03,5,1,8.26,Cash,In-store,2.0,,0.0
2308,108,2023-12-03,6,1,3.68,Credit Card,In-store,4.0,,0.0
7610,588,2023-12-03,15,2,4.61,Cash,Online,,5.0,0.92
5248,457,2023-12-03,6,1,8.41,Mobile Pay,In-store,5.0,,0.0
3158,496,2023-12-03,5,1,3.45,Mobile Pay,Online,,,0.0
9766,620,2023-12-03,6,1,5.96,Mobile Pay,Online,,,0.0
833,425,2023-12-03,15,3,4.65,Cash,In-store,5.0,7.0,1.39
243,188,2023-12-03,21,1,2.54,Cash,Online,,5.0,0.25
7224,293,2023-12-03,15,1,2.62,Mobile Pay,In-store,1.0,,0.0
7286,401,2023-12-03,21,1,3.2,Cash,In-store,2.0,,0.0
3369,509,2023-12-03,15,1,3.29,Cash,Online,,,0.0
5826,428,2023-12-03,21,1,3.59,Cash,In-store,1.0,,0.0
7714,401,2023-12-03,15,1,6.9,Cash,Online,,,0.0
3537,586,2023-12-03,5,3,2.43,Mobile Pay,Online,,,0.0
4398,525,2023-12-03,15,1,4.46,Cash,Online,,,0.0
4438,469,2023-12-03,15,6,5.78,Cash,Online,,,0.0
7212,386,2023-12-03,15,3,5.42,Cash,In-store,1.0,,0.0
5394,235,2023-12-03,15,1,5.32,Mobile Pay,Online,,6.0,0.53
4112,650,2023-12-03,5,1,3.76,Cash,In-store,5.0,,0.0
10233,455,2023-12-03,21,3,6.22,Cash,Online,,,0.0
4333,363,2023-12-03,5,3,3.92,Cash,Online,,,0.0
10828,329,2023-12-03,6,1,6.69,Mobile Pay,In-store,4.0,,0.0
10068,292,2023-12-03,15,1,8.82,Cash,Online,,10.0,0.88
5423,327,2023-12-03,15,1,4.97,Mobile Pay,Online,,,0.0
9941,399,2023-12-03,5,1,4.85,Credit Card,In-store,1.0,,0.0
134,596,2023-12-03,15,1,4.66,Credit Card,In-store,1.0,,0.0
2774,537,2023-12-03,15,1,3.35,Mobile Pay,In-store,2.0,,0.0
4405,675,2023-12-03,15,1,3.81,Cash,Online,,,0.0
6745,226,2023-12-03,6,2,9.14,Mobile Pay,Online,,,0.0
