transaction_id,customer_id,date,time,(No column name),product_id,quantity,price,payment_method,channel,store_id,promotion_id,discount_amount
1,541,4/11/2024,9:39,9:39,5,5,4.36,Cash,Online,,,0
2,522,3/3/2024,17:27,17:27,12,5,5.06,Mobile Pay,In-store,1,5,4.79
3,518,10/6/2023,15:25,15:25,12,5,5.06,Credit Card,Online,,,0
4,196,2/1/2024,12:30,12:30,14,2,4.33,Credit Card,In-store,3,4,2.37
5,674,6/4/2024,16:40,16:40,13,1,3.41,Credit Card,Online,,,0
6,241,8/28/2023,12:27,12:27,6,3,3.51,Cash,Online,,,0
7,461,3/1/2024,13:33,13:33,20,1,5.96,Cash,In-store,1,,0
8,266,5/18/2024,20:43,20:43,19,4,3.74,Credit Card,In-store,1,,0
9,598,5/2/2024,16:36,16:36,13,4,3.41,Credit Card,Online,,,0
10,276,3/9/2024,11:34,11:34,5,2,4.36,Cash,In-store,1,1,1.17
11,249,1/7/2024,13:14,13:14,3,5,2.83,Credit Card,Online,,,0
12,528,1/6/2024,9:07,9:07,8,3,4.66,Credit Card,In-store,3,,0
13,176,1/5/2024,16:48,16:48,20,3,5.96,Mobile Pay,Online,,5,3.95
14,645,4/14/2024,9:28,9:28,5,2,4.36,Credit Card,In-store,2,,0
15,510,2/23/2024,14:46,14:46,21,1,4.82,Credit Card,In-store,2,5,0.64
16,462,10/29/2023,8:32,8:32,16,3,4.89,Mobile Pay,Online,,,0
17,156,2/21/2024,15:51,15:51,19,1,3.74,Cash,Online,,5,0.85
18,578,9/16/2023,16:18,16:18,1,3,6.17,Cash,In-store,2,,0
19,504,10/30/2023,8:13,8:13,21,4,4.82,Mobile Pay,In-store,2,5,4.97
20,333,1/22/2024,11:48,11:48,9,8,3.04,Mobile Pay,In-store,2,,0
21,612,8/17/2023,16:55,16:55,2,1,4.32,Cash,Online,,,0
22,528,2/28/2024,20:44,20:44,2,3,4.32,Mobile Pay,In-store,2,2,2.02
23,616,8/19/2023,14:54,14:54,13,5,3.41,Mobile Pay,In-store,3,,0
24,715,9/26/2023,17:47,17:47,7,3,3.43,Cash,In-store,3,1,3.02
25,483,9/9/2023,17:57,17:57,18,5,5.14,Cash,In-store,3,,0
26,560,4/22/2024,11:52,11:52,6,5,3.51,Cash,In-store,1,3,2.43
27,594,11/12/2023,10:26,10:26,3,5,2.83,Mobile Pay,In-store,1,4,3.79
28,270,8/27/2023,8:16,8:16,22,4,6.38,Credit Card,In-store,2,,0
29,433,12/23/2023,18:43,18:43,7,4,3.43,Cash,Online,,3,1.49
30,405,2/23/2024,9:20,9:20,13,3,3.41,Credit Card,In-store,1,,0
31,162,4/3/2024,19:34,19:34,23,4,3.63,Cash,Online,,,0
32,495,2/3/2024,8:18,8:18,20,4,5.96,Mobile Pay,In-store,3,,0
33,499,6/1/2024,19:16,19:16,11,3,3.7,Cash,Online,,2,2.12
34,227,9/19/2023,9:16,9:16,26,4,6.48,Mobile Pay,Online,,,0
35,598,7/29/2023,8:47,8:47,12,4,5.06,Mobile Pay,Online,,,0
36,653,1/17/2024,17:29,17:29,9,5,3.04,Cash,In-store,2,,0
37,710,11/25/2023,16:35,16:35,13,4,3.41,Credit Card,Online,,4,1.52
38,472,2/5/2024,13:32,13:32,7,1,3.43,Cash,In-store,2,,0
39,470,9/15/2023,13:18,13:18,14,4,4.33,Credit Card,In-store,2,,0
40,440,8/16/2023,19:03,19:03,19,4,3.74,Credit Card,Online,,,0
41,281,9/17/2023,16:15,16:15,9,1,3.04,Cash,In-store,3,3,0.9
42,692,7/21/2023,18:38,18:38,9,1,3.04,Mobile Pay,In-store,3,,0
43,155,8/30/2023,17:48,17:48,26,4,6.48,Credit Card,In-store,3,,0
44,606,8/11/2023,13:49,13:49,12,2,5.06,Cash,Online,,,0
45,360,1/9/2024,20:23,20:23,19,1,3.74,Mobile Pay,In-store,2,,0
46,455,9/9/2023,8:18,8:18,19,1,3.74,Credit Card,In-store,1,,0
47,455,10/13/2023,9:37,9:37,19,4,3.74,Mobile Pay,Online,,3,4.38
48,162,5/17/2024,13:54,13:54,20,5,5.96,Credit Card,In-store,3,,0
49,119,5/8/2024,9:58,9:58,26,2,6.48,Mobile Pay,Online,,,0
50,567,12/4/2023,16:01,16:01,3,5,2.83,Cash,In-store,3,,0
51,147,4/5/2024,10:42,10:42,14,3,4.33,Mobile Pay,Online,,,0
52,462,5/21/2024,11:21,11:21,3,2,2.83,Credit Card,In-store,1,,0
53,502,10/27/2023,10:42,10:42,15,1,3.78,Credit Card,Online,,3,1.09
54,261,12/9/2023,11:22,11:22,1,2,6.17,Credit Card,Online,,,0
55,388,12/8/2023,17:26,17:26,20,4,5.96,Credit Card,In-store,1,,0
56,630,9/30/2023,18:40,18:40,7,3,3.43,Credit Card,In-store,2,1,1.59
57,124,9/18/2023,12:43,12:43,23,5,3.63,Cash,In-store,3,,0
58,669,10/13/2023,8:30,8:30,14,1,4.33,Mobile Pay,In-store,1,1,0.82
