transaction_id,customer_id,date,time,product_id,quantity,price,payment_method,channel,store_id,promotion_id,discount_amount
1,799,2024-04-11,09:39:00,5,5,4.36,Cash,Online,,,0.0
2,522,2024-03-03,17:27:00,12,5,5.06,Mobile Pay,In-store,1,5,4.79
3,518,2023-10-06,15:25:00,12,5,5.06,Credit Card,Online,,,0.0
4,196,2024-02-01,12:30:00,14,2,4.33,Credit Card,In-store,3,4,2.37
5,674,2024-06-04,16:40:00,13,1,3.41,Credit Card,Online,,,0.0
6,756,2023-08-28,12:27:00,6,3,3.51,Cash,Online,,,0.0
7,461,2024-03-01,13:33:00,20,1,5.96,Cash,In-store,1,,0.0
8,266,2024-05-18,20:43:00,19,4,3.74,Credit Card,In-store,1,,0.0
9,598,2024-05-02,16:36:00,13,4,3.41,Credit Card,Online,,,0.0
10,276,2024-03-09,11:34:00,5,2,4.36,Cash,In-store,1,1,1.17
11,249,2024-01-07,13:14:00,3,5,2.83,Credit Card,Online,,,0.0
12,528,2024-01-06,09:07:00,8,3,4.66,Credit Card,In-store,3,,0.0
13,176,2024-01-05,16:48:00,20,3,5.96,Mobile Pay,Online,,5,3.95
14,645,2024-04-14,09:28:00,5,2,4.36,Credit Card,In-store,2,,0.0
15,510,2024-02-23,14:46:00,21,1,4.82,Credit Card,In-store,2,5,0.64
16,462,2023-10-29,08:32:00,16,3,4.89,Mobile Pay,Online,,,0.0
17,156,2024-02-21,15:51:00,19,1,3.74,Cash,Online,,5,0.85
18,743,2023-09-16,16:18:00,1,3,6.17,Cash,In-store,2,,0.0
19,816,2023-10-30,08:13:00,21,4,4.82,Mobile Pay,In-store,2,5,4.97
20,333,2024-01-22,11:48:00,9,8,3.04,Mobile Pay,In-store,2,,0.0
21,612,2023-08-17,16:55:00,2,1,4.32,Cash,Online,,,0.0
22,528,2024-02-28,20:44:00,2,3,4.32,Mobile Pay,In-store,2,2,2.02
23,616,2023-08-19,14:54:00,13,5,3.41,Mobile Pay,In-store,3,,0.0
24,715,2023-09-26,17:47:00,7,3,3.43,Cash,In-store,3,1,3.02
25,739,2023-09-09,17:57:00,18,5,5.14,Cash,In-store,3,,0.0
26,560,2024-04-22,11:52:00,6,5,3.51,Cash,In-store,1,3,2.43
27,594,2023-11-12,10:26:00,3,5,2.83,Mobile Pay,In-store,1,4,3.79
28,270,2023-08-27,08:16:00,22,4,6.38,Credit Card,In-store,2,,0.0
29,433,2023-12-23,18:43:00,7,4,3.43,Cash,Online,,3,1.49
30,405,2024-02-23,09:20:00,13,3,3.41,Credit Card,In-store,1,,0.0
31,162,2024-04-03,19:34:00,23,4,3.63,Cash,Online,,,0.0
32,751,2024-02-03,08:18:00,20,4,5.96,Mobile Pay,In-store,3,,0.0
33,499,2024-06-01,19:16:00,11,3,3.7,Cash,Online,,2,2.12
34,227,2023-09-19,09:16:00,25,4,6.48,Mobile Pay,Online,,,0.0
35,598,2023-07-29,08:47:00,12,4,5.06,Mobile Pay,Online,,,0.0
36,653,2024-01-17,17:29:00,9,5,3.04,Cash,In-store,2,,0.0
37,710,2023-11-25,16:35:00,13,4,3.41,Credit Card,Online,,4,1.52
38,472,2024-02-05,13:32:00,7,1,3.43,Cash,In-store,2,,0.0
