FeedbackId,CustomerId,Rating,Comment,DateSubmitted
1,101,5,The average pastries! I especially loved the bread could be improved.,10/27/2023
2,102,5,The stale pastries! The croissants were a bit too sweet.,10/19/2023
3,103,1,"The could be better pastries! However, the bread were perfect.",5/18/2023
4,103,5,The disappointing pastries! I especially loved the éclairs were a bit too sweet.,8/4/2023
5,104,5,The dry pastries! I especially loved the tarts were a bit too sweet.,5/7/2023
6,104,4,The could be better pastries! I especially loved the tarts were a bit too sweet.,2/25/2023
7,104,5,The poor service pastries! I especially loved the bread could be improved.,1/3/2023
8,104,1,The delicious pastries! The tarts could be improved.,1/7/2023
9,105,3,The love pastries! The éclairs were perfect.,5/25/2023
10,105,5,The delicious pastries! The bread were perfect.,6/11/2023
11,105,5,"The decent pastries! However, the croissants were perfect.",7/10/2023
12,105,4,The burnt pastries! The éclairs were a bit too sweet.,6/19/2023
13,105,3,The could be better pastries! The éclairs were perfect.,7/22/2023
14,107,3,The decent pastries! The tarts were perfect.,12/28/2023
15,107,4,"The overpriced pastries! However, the tarts could be improved.",5/28/2023
16,107,3,The great pastries! The bread were a bit too sweet.,7/2/2023
17,107,2,The stale pastries! I especially loved the éclairs could be improved.,7/8/2023
18,107,2,"The average pastries! However, the tarts were a bit too sweet.",3/13/2023
19,108,3,The dry pastries! The bread were a bit too sweet.,12/16/2023
20,108,1,The decent pastries! The bread were a bit too sweet.,6/9/2023
21,108,4,"The favorite pastries! However, the tarts were a bit too sweet.",6/8/2023
22,108,1,The poor service pastries! I especially loved the bread could be improved.,12/11/2023
23,108,4,The amazing pastries! I especially loved the tarts could be improved.,6/1/2023
24,109,3,"The delicious pastries! However, the bread could be improved.",7/25/2023
25,109,5,"The okay pastries! However, the tarts were perfect.",5/5/2023
26,109,3,The dry pastries! The croissants were perfect.,10/22/2023
27,111,2,The amazing pastries! The bread were a bit too sweet.,10/11/2023
28,111,4,The love pastries! I especially loved the croissants could be improved.,7/23/2023
29,111,1,"The best pastries! However, the croissants could be improved.",10/18/2023
30,111,4,The decent pastries! The tarts could be improved.,3/16/2023
31,112,5,The great pastries! I especially loved the croissants were perfect.,12/6/2023
32,113,5,"The dry pastries! However, the éclairs could be improved.",6/20/2023
33,113,5,"The okay pastries! However, the éclairs were a bit too sweet.",9/12/2023
34,114,5,"The love pastries! However, the tarts were a bit too sweet.",5/18/2023
35,114,3,"The overpriced pastries! However, the croissants were perfect.",6/19/2023
36,114,1,The great pastries! I especially loved the tarts could be improved.,1/7/2023
37,114,2,The disappointing pastries! The croissants were perfect.,1/8/2023
38,114,3,"The average pastries! However, the croissants were a bit too sweet.",11/3/2023
39,115,1,The love pastries! I especially loved the tarts were a bit too sweet.,4/14/2023
40,115,4,The poor service pastries! I especially loved the tarts were a bit too sweet.,3/1/2023
41,116,5,The amazing pastries! I especially loved the tarts could be improved.,6/21/2023
42,117,2,The decent pastries! The éclairs were a bit too sweet.,1/7/2023
43,117,2,"The burnt pastries! However, the tarts were perfect.",9/26/2023
44,118,5,The best pastries! I especially loved the bread could be improved.,3/16/2023
45,118,1,The love pastries! The éclairs were perfect.,11/17/2023
46,118,1,"The average pastries! However, the croissants were a bit too sweet.",7/5/2023
47,119,1,"The could be better pastries! However, the croissants could be improved.",10/2/2023
48,119,5,The decent pastries! I especially loved the éclairs were perfect.,9/2/2023
49,120,4,"The decent pastries! However, the éclairs were perfect.",7/21/2023
50,120,1,The disappointing pastries! I especially loved the tarts could be improved.,8/7/2023
51,120,5,The favorite pastries! The tarts could be improved.,10/14/2023
52,120,1,The could be better pastries! I especially loved the tarts were perfect.,10/14/2023
53,121,2,The decent pastries! I especially loved the tarts were perfect.,4/5/2023
54,121,2,The decent pastries! The éclairs could be improved.,8/28/2023
55,122,1,The delicious pastries! The bread could be improved.,9/5/2023
56,122,4,"The could be better pastries! However, the croissants were perfect.",4/15/2023
57,123,5,The delicious pastries! The croissants could be improved.,12/25/2023
58,123,2,"The okay pastries! However, the bread could be improved.",3/21/2023
59,123,3,The burnt pastries! I especially loved the tarts were a bit too sweet.,8/25/2023
60,124,4,"The decent pastries! However, the tarts were perfect.",5/24/2023
61,126,3,The could be better pastries! The bread could be improved.,9/5/2023
62,126,1,"The poor service pastries! However, the tarts were perfect.",8/21/2023
63,126,5,"The average pastries! However, the éclairs were perfect.",6/21/2023
64,126,2,The amazing pastries! The bread could be improved.,7/10/2023
65,127,5,The could be better pastries! The tarts could be improved.,7/26/2023
66,128,4,The love pastries! The éclairs were perfect.,1/25/2023
67,128,1,"The burnt pastries! However, the tarts could be improved.",6/21/2023
68,132,1,The best pastries! I especially loved the croissants were a bit too sweet.,10/1/2023
69,132,4,"The rude staff pastries! However, the éclairs could be improved.",8/26/2023
70,132,3,The disappointing pastries! The tarts were perfect.,8/13/2023
71,132,2,"The decent pastries! However, the tarts were perfect.",9/24/2023
72,133,3,"The poor service pastries! However, the éclairs could be improved.",5/11/2023
73,134,4,"The poor service pastries! However, the tarts were perfect.",7/17/2023
74,134,2,The decent pastries! The bread were perfect.,8/15/2023
75,134,2,"The overpriced pastries! However, the bread were a bit too sweet.",2/5/2023
76,134,5,The favorite pastries! I especially loved the tarts could be improved.,12/9/2023
77,135,1,The delicious pastries! I especially loved the croissants could be improved.,12/16/2023
78,135,1,The dry pastries! The bread were a bit too sweet.,7/1/2023
79,136,4,The best pastries! I especially loved the croissants were perfect.,8/25/2023
80,136,5,The okay pastries! The croissants were a bit too sweet.,12/15/2023
81,137,2,"The delicious pastries! However, the bread could be improved.",12/15/2023
82,137,2,The average pastries! I especially loved the tarts were perfect.,10/17/2023
83,138,5,The okay pastries! The éclairs were a bit too sweet.,6/20/2023
84,138,2,The could be better pastries! I especially loved the croissants could be improved.,10/5/2023
85,138,2,The could be better pastries! The bread were a bit too sweet.,11/25/2023
86,138,3,The decent pastries! I especially loved the tarts could be improved.,8/27/2023
87,138,2,The okay pastries! The tarts could be improved.,12/24/2023
88,139,3,The amazing pastries! The éclairs were perfect.,2/22/2023
89,139,1,The could be better pastries! I especially loved the croissants were a bit too sweet.,11/8/2023
90,139,4,The favorite pastries! The croissants were perfect.,3/4/2023
91,140,5,The average pastries! The bread were perfect.,8/15/2023
92,141,3,The decent pastries! I especially loved the bread were perfect.,4/3/2023
93,141,3,The great pastries! The croissants were perfect.,12/22/2023
94,141,3,The could be better pastries! I especially loved the croissants were a bit too sweet.,9/26/2023
95,143,1,The okay pastries! I especially loved the tarts were perfect.,7/21/2023
96,143,5,The delicious pastries! I especially loved the croissants could be improved.,3/15/2023
97,143,2,The average pastries! I especially loved the bread were perfect.,11/21/2023
98,143,1,The decent pastries! The croissants could be improved.,8/17/2023
99,143,4,The amazing pastries! The croissants were perfect.,12/10/2023
100,144,5,The delicious pastries! The tarts could be improved.,2/2/2023
101,145,5,The okay pastries! I especially loved the tarts were perfect.,8/19/2023
102,145,4,The average pastries! The éclairs could be improved.,12/2/2023
103,147,2,The disappointing pastries! The éclairs were perfect.,1/22/2023
104,147,3,"The love pastries! However, the croissants were perfect.",10/21/2023
105,147,5,The rude staff pastries! I especially loved the croissants were perfect.,2/13/2023
106,148,1,"The delicious pastries! However, the croissants were perfect.",5/25/2023
107,148,1,The love pastries! The éclairs were a bit too sweet.,4/14/2023
108,148,1,"The okay pastries! However, the croissants were perfect.",7/2/2023
109,149,4,"The could be better pastries! However, the éclairs could be improved.",5/11/2023
110,149,1,The dry pastries! I especially loved the bread were perfect.,9/18/2023
111,151,5,The overpriced pastries! I especially loved the éclairs were a bit too sweet.,8/11/2023
112,151,2,The poor service pastries! I especially loved the éclairs were perfect.,6/3/2023
113,151,1,"The okay pastries! However, the tarts could be improved.",3/25/2023
114,151,3,The favorite pastries! The tarts were perfect.,12/18/2023
115,153,4,"The could be better pastries! However, the éclairs were a bit too sweet.",12/4/2023
116,153,4,The could be better pastries! The éclairs were a bit too sweet.,5/5/2023
117,154,1,The overpriced pastries! I especially loved the éclairs were perfect.,1/7/2023
118,154,2,The disappointing pastries! The éclairs were perfect.,6/18/2023
119,155,5,"The overpriced pastries! However, the bread were a bit too sweet.",12/9/2023
120,155,4,The rude staff pastries! The croissants were perfect.,3/15/2023
121,155,3,The best pastries! I especially loved the tarts could be improved.,12/14/2023
122,155,2,The best pastries! The tarts could be improved.,1/8/2023
123,156,2,The overpriced pastries! The croissants were perfect.,9/22/2023
124,156,2,The best pastries! The tarts were a bit too sweet.,5/20/2023
125,156,3,The amazing pastries! The croissants could be improved.,8/4/2023
126,157,1,The could be better pastries! I especially loved the éclairs could be improved.,4/28/2023
127,157,5,"The amazing pastries! However, the bread could be improved.",10/2/2023
128,158,1,The rude staff pastries! The bread were a bit too sweet.,5/16/2023
129,159,3,The could be better pastries! The éclairs could be improved.,8/21/2023
130,161,3,The could be better pastries! I especially loved the éclairs were perfect.,6/10/2023
131,161,1,"The great pastries! However, the bread were a bit too sweet.",5/25/2023
132,162,4,The great pastries! The bread were a bit too sweet.,3/5/2023
133,162,3,The could be better pastries! I especially loved the bread were a bit too sweet.,5/18/2023
134,162,4,The delicious pastries! I especially loved the bread were a bit too sweet.,5/19/2023
135,162,5,The stale pastries! The croissants were a bit too sweet.,2/20/2023
136,163,3,The decent pastries! I especially loved the bread could be improved.,4/25/2023
137,163,5,The average pastries! I especially loved the croissants could be improved.,11/13/2023
138,164,4,The stale pastries! I especially loved the éclairs were a bit too sweet.,1/23/2023
139,166,4,The stale pastries! The tarts were perfect.,6/2/2023
140,166,2,"The love pastries! However, the tarts were a bit too sweet.",10/1/2023
141,166,3,"The okay pastries! However, the éclairs were a bit too sweet.",10/4/2023
142,166,4,The delicious pastries! The éclairs were a bit too sweet.,10/6/2023
143,169,1,The burnt pastries! The bread were a bit too sweet.,3/19/2023
144,171,5,The amazing pastries! The tarts were perfect.,1/9/2023
145,172,4,"The poor service pastries! However, the tarts could be improved.",4/15/2023
146,172,5,The great pastries! The tarts were perfect.,10/28/2023
147,173,3,The love pastries! The bread were a bit too sweet.,8/1/2023
148,173,5,The poor service pastries! The éclairs could be improved.,2/17/2023
149,173,4,"The could be better pastries! However, the éclairs were a bit too sweet.",8/8/2023
150,173,4,The amazing pastries! I especially loved the bread were a bit too sweet.,6/19/2023
151,174,3,The burnt pastries! I especially loved the éclairs could be improved.,9/10/2023
152,175,2,"The great pastries! However, the tarts were perfect.",7/9/2023
153,175,1,The favorite pastries! The croissants could be improved.,6/17/2023
154,176,1,"The favorite pastries! However, the tarts were perfect.",5/25/2023
155,176,1,The average pastries! I especially loved the croissants could be improved.,1/20/2023
156,176,5,The rude staff pastries! The tarts could be improved.,6/7/2023
157,176,4,The okay pastries! I especially loved the croissants were perfect.,10/14/2023
158,177,3,The favorite pastries! The bread were a bit too sweet.,1/16/2023
159,177,2,"The great pastries! However, the éclairs were a bit too sweet.",9/5/2023
160,177,5,"The could be better pastries! However, the éclairs could be improved.",5/22/2023
161,177,1,The poor service pastries! The croissants were perfect.,6/8/2023
162,178,1,"The average pastries! However, the tarts could be improved.",1/8/2023
163,178,3,The best pastries! I especially loved the éclairs were a bit too sweet.,11/20/2023
164,178,2,The stale pastries! I especially loved the bread were perfect.,2/2/2023
165,178,2,The love pastries! I especially loved the tarts could be improved.,12/11/2023
166,179,3,"The decent pastries! However, the bread were a bit too sweet.",2/19/2023
167,179,3,The dry pastries! The bread were a bit too sweet.,6/19/2023
168,179,5,"The favorite pastries! However, the éclairs were a bit too sweet.",10/4/2023
169,179,5,The could be better pastries! I especially loved the éclairs were perfect.,5/17/2023
170,180,5,"The poor service pastries! However, the croissants were a bit too sweet.",10/4/2023
171,181,5,"The average pastries! However, the bread were perfect.",7/13/2023
172,181,1,The average pastries! I especially loved the éclairs were a bit too sweet.,10/4/2023
173,182,2,"The stale pastries! However, the croissants were perfect.",4/21/2023
174,182,3,The could be better pastries! I especially loved the bread were a bit too sweet.,6/13/2023
175,182,4,The okay pastries! I especially loved the bread could be improved.,5/26/2023
176,182,4,The average pastries! I especially loved the éclairs were perfect.,3/26/2023
177,184,1,"The love pastries! However, the bread were a bit too sweet.",11/12/2023
178,184,3,"The rude staff pastries! However, the tarts were perfect.",3/17/2023
179,185,5,"The decent pastries! However, the tarts could be improved.",11/28/2023
180,185,1,"The decent pastries! However, the bread were a bit too sweet.",2/5/2023
181,185,4,The decent pastries! The croissants were perfect.,9/8/2023
182,186,4,The decent pastries! I especially loved the croissants were a bit too sweet.,10/16/2023
183,186,1,The burnt pastries! I especially loved the croissants could be improved.,6/21/2023
184,186,1,The favorite pastries! I especially loved the éclairs could be improved.,9/21/2023
185,187,2,The dry pastries! The éclairs could be improved.,2/16/2023
186,187,2,The decent pastries! The bread were a bit too sweet.,10/10/2023
187,187,3,"The great pastries! However, the bread were perfect.",9/3/2023
188,187,4,"The great pastries! However, the tarts were a bit too sweet.",10/4/2023
189,188,3,The decent pastries! The tarts were a bit too sweet.,3/5/2023
190,188,4,"The delicious pastries! However, the croissants were a bit too sweet.",4/4/2023
191,188,4,"The disappointing pastries! However, the éclairs were perfect.",9/6/2023
192,188,2,The great pastries! I especially loved the éclairs were a bit too sweet.,9/26/2023
193,189,1,The dry pastries! I especially loved the croissants were perfect.,2/27/2023
194,189,1,The could be better pastries! I especially loved the éclairs were perfect.,11/16/2023
195,189,3,The average pastries! The bread could be improved.,5/1/2023
196,189,1,The could be better pastries! I especially loved the tarts were perfect.,4/2/2023
197,189,2,The love pastries! The éclairs could be improved.,3/16/2023
198,190,5,"The average pastries! However, the tarts were perfect.",11/16/2023
199,191,2,The could be better pastries! I especially loved the bread were a bit too sweet.,3/5/2023
200,191,5,The favorite pastries! I especially loved the éclairs were a bit too sweet.,5/1/2023
201,191,2,"The overpriced pastries! However, the éclairs were perfect.",6/14/2023
202,192,1,"The decent pastries! However, the éclairs could be improved.",8/3/2023
