HistoryId,CustomerId,Action,Points,Timestamp
1,101,Points Earned,56,2023-07-21T02:15:47
2,101,Points Earned,50,2024-04-08T02:15:47
3,101,Tier Upgrade,0,2023-10-07T02:15:47
4,101,Points Earned,51,2023-11-05T02:15:47
5,101,Tier Upgrade,0,2024-03-04T02:15:47
6,101,Points Earned,61,2024-05-08T02:15:47
7,101,Tier Upgrade,0,2024-02-08T02:15:47
8,101,Points Earned,92,2024-04-19T02:15:47
9,101,Points Earned,40,2023-07-12T02:15:47
10,101,Points Redeemed,-14,2023-08-30T02:15:47
11,101,Tier Upgrade,0,2023-11-22T02:15:47
12,101,Tier Upgrade,0,2023-07-07T02:15:47
13,101,Points Redeemed,-278,2024-01-12T02:15:47
14,101,Points Earned,25,2024-05-28T02:15:47
15,101,Tier Upgrade,0,2024-03-24T02:15:47
16,101,Points Redeemed,-33,2023-12-18T02:15:47
17,101,Points Redeemed,-14,2023-06-30T02:15:47
18,101,Points Redeemed,-12,2023-07-19T02:15:47
19,101,Tier Upgrade,0,2024-03-06T02:15:47
20,101,Tier Upgrade,0,2023-07-20T02:15:47
21,101,Points Redeemed,-19,2023-07-14T02:15:47
22,101,Points Earned,26,2023-11-11T02:15:47
23,101,Tier Upgrade,0,2023-06-19T02:15:47
24,101,Points Redeemed,-24,2023-09-01T02:15:47
25,101,Current Tier,7,2024-06-12T02:15:47
26,102,Current Tier,0,2024-06-12T02:15:47
27,103,Points Earned,44,2024-05-31T02:15:47
28,103,Points Redeemed,-22,2024-04-27T02:15:47
29,103,Points Earned,74,2024-02-06T02:15:47
30,103,Points Redeemed,-21,2024-01-11T02:15:47
31,103,Points Earned,77,2023-10-12T02:15:47
32,103,Points Redeemed,-97,2024-05-19T02:15:47
33,103,Points Redeemed,-44,2023-08-24T02:15:47
34,103,Points Redeemed,-10,2024-04-23T02:15:47
35,103,Points Redeemed,0,2023-08-01T02:15:47
36,103,Points Earned,77,2023-11-10T02:15:47
37,103,Points Redeemed,-73,2024-03-20T02:15:47
38,103,Current Tier,5,2024-06-12T02:15:47
39,104,Tier Upgrade,0,2024-02-19T02:15:47
40,104,Points Redeemed,0,2023-11-15T02:15:47
41,104,Tier Upgrade,0,2023-09-01T02:15:47
42,104,Points Redeemed,0,2024-03-01T02:15:47
43,104,Points Redeemed,0,2023-06-27T02:15:47
44,104,Points Earned,14,2024-05-09T02:15:47
45,104,Tier Upgrade,0,2024-03-22T02:15:47
46,104,Points Redeemed,-14,2024-06-11T02:15:47
