EngagementId,Platform,PostType,Reach,Impressions,EngagementCount,Date
1,Instagram,Reel,875,2011,110,1/1/2023
2,Instagram,Story,497,988,66,1/1/2023
3,Facebook,Story,4449,10671,108,1/2/2023
4,Facebook,Post,3643,18022,606,1/2/2023
5,Facebook,Story,4107,6846,268,1/2/2023
6,Instagram,Story,1919,9004,601,1/2/2023
7,Instagram,Reel,4422,22082,1853,1/2/2023
8,Twitter,Story,1642,1909,99,1/2/2023
9,Twitter,Reel,4338,8896,475,1/2/2023
10,Twitter,Post,520,1739,76,1/2/2023
11,Facebook,Post,2546,5936,304,1/3/2023
12,Twitter,Reel,2245,9345,460,1/3/2023
13,Twitter,Ad,174,672,56,1/3/2023
14,Facebook,Post,3160,5913,299,1/4/2023
15,Facebook,Story,53,157,5,1/4/2023
16,Instagram,Post,2691,5051,260,1/4/2023
17,Instagram,Story,650,1024,7,1/4/2023
18,Instagram,Story,1343,1913,166,1/4/2023
19,Twitter,Reel,1755,7120,369,1/4/2023
20,Facebook,Post,4922,15921,419,1/5/2023
21,Facebook,Post,1098,2609,247,1/5/2023
22,Instagram,Post,2031,2061,166,1/5/2023
23,Instagram,Story,2086,7454,483,1/5/2023
24,Instagram,Reel,1921,8815,91,1/5/2023
25,Twitter,Reel,1651,2250,163,1/5/2023
26,Twitter,Post,517,2377,146,1/5/2023
27,Twitter,Story,904,4401,144,1/5/2023
28,Facebook,Story,252,369,21,1/6/2023
29,Facebook,Post,2677,9146,52,1/6/2023
30,Facebook,Post,1936,6030,50,1/6/2023
31,Twitter,Reel,2033,5283,353,1/6/2023
32,Twitter,Reel,4143,8603,553,1/6/2023
33,Twitter,Ad,3956,13419,237,1/6/2023
34,Facebook,Post,2234,5665,376,1/7/2023
35,Facebook,Story,2330,10442,785,1/7/2023
36,Instagram,Story,1517,3301,199,1/7/2023
37,Twitter,Reel,3278,13360,790,1/7/2023
38,Twitter,Ad,3996,10873,439,1/7/2023
39,Twitter,Reel,1310,2029,188,1/7/2023
40,Facebook,Post,2077,9819,334,1/8/2023
41,Facebook,Ad,1489,3621,155,1/8/2023
42,Facebook,Post,2596,6369,512,1/8/2023
43,Instagram,Story,4398,21376,902,1/8/2023
44,Instagram,Reel,1345,1910,180,1/8/2023
45,Twitter,Reel,4121,19470,1594,1/8/2023
46,Twitter,Story,4197,10819,410,1/8/2023
47,Facebook,Story,468,849,74,1/9/2023
48,Instagram,Post,1174,2301,118,1/9/2023
49,Instagram,Reel,4915,18332,299,1/9/2023
50,Twitter,Reel,4468,8977,435,1/9/2023
51,Twitter,Reel,4627,11300,858,1/9/2023
52,Twitter,Story,1643,7684,643,1/9/2023
53,Facebook,Reel,962,1703,165,1/10/2023
54,Facebook,Ad,930,2306,71,1/10/2023
55,Facebook,Ad,2257,5270,384,1/10/2023
56,Instagram,Ad,2624,6010,302,1/10/2023
57,Instagram,Ad,1003,4581,75,1/10/2023
58,Twitter,Ad,4287,17615,755,1/10/2023
59,Twitter,Reel,4196,9161,811,1/10/2023
60,Facebook,Story,4477,16861,969,1/11/2023
61,Facebook,Post,833,3519,305,1/11/2023
62,Instagram,Post,4763,8468,434,1/11/2023
63,Instagram,Ad,361,1660,29,1/11/2023
64,Twitter,Reel,4977,20343,1179,1/11/2023
65,Twitter,Post,95,136,13,1/11/2023
66,Twitter,Post,3324,6283,391,1/11/2023
67,Facebook,Reel,3328,8158,405,1/12/2023
68,Instagram,Story,356,1251,49,1/12/2023
69,Instagram,Story,914,4156,40,1/12/2023
70,Instagram,Story,358,1411,134,1/12/2023
71,Twitter,Story,2040,3321,19,1/12/2023
72,Twitter,Ad,2462,6593,561,1/12/2023
73,Twitter,Ad,3558,9559,644,1/12/2023
74,Facebook,Ad,4919,24207,853,1/13/2023
75,Facebook,Ad,3315,4606,11,1/14/2023
76,Instagram,Reel,3776,6870,429,1/14/2023
77,Twitter,Reel,3656,12674,484,1/14/2023
78,Twitter,Post,2650,5559,151,1/14/2023
79,Twitter,Ad,714,2625,78,1/14/2023
80,Facebook,Post,913,2582,182,1/15/2023
81,Facebook,Post,1629,7401,655,1/15/2023
82,Facebook,Ad,3959,10572,311,1/15/2023
83,Instagram,Post,108,174,16,1/15/2023
84,Instagram,Story,615,1261,33,1/15/2023
85,Twitter,Story,488,2068,195,1/15/2023
86,Twitter,Story,736,3010,268,1/15/2023
87,Facebook,Ad,356,661,29,1/16/2023
88,Facebook,Story,2390,11112,522,1/16/2023
89,Facebook,Post,3892,13776,802,1/16/2023
90,Instagram,Story,1843,8652,220,1/16/2023
91,Instagram,Reel,1927,6770,393,1/16/2023
92,Twitter,Story,4811,10444,427,1/16/2023
93,Facebook,Post,1634,2217,191,1/17/2023
94,Instagram,Reel,1694,7239,528,1/17/2023
95,Instagram,Story,4857,17006,1446,1/17/2023
96,Twitter,Reel,1581,7112,55,1/17/2023
97,Facebook,Reel,1319,2667,89,1/18/2023
98,Facebook,Story,3527,14005,1011,1/18/2023
99,Facebook,Reel,200,364,32,1/18/2023
100,Instagram,Ad,4929,7468,553,1/18/2023
101,Instagram,Post,4745,18958,103,1/18/2023
102,Instagram,Reel,2274,7576,510,1/18/2023
103,Twitter,Ad,1142,2081,107,1/18/2023
104,Twitter,Reel,3024,9044,130,1/18/2023
105,Twitter,Ad,3939,4932,36,1/18/2023
106,Facebook,Post,4463,16113,1431,1/19/2023
107,Facebook,Story,2174,5080,446,1/19/2023
108,Facebook,Story,4171,9433,921,1/19/2023
109,Instagram,Post,2629,3220,235,1/19/2023
110,Instagram,Post,3868,11427,686,1/19/2023
111,Twitter,Reel,2559,12186,69,1/19/2023
112,Twitter,Ad,3231,7693,526,1/19/2023
113,Twitter,Reel,4209,6912,497,1/19/2023
114,Facebook,Ad,2288,9925,818,1/20/2023
115,Instagram,Story,647,2931,197,1/20/2023
116,Instagram,Story,3748,13808,542,1/20/2023
117,Twitter,Ad,1748,6786,189,1/20/2023
118,Twitter,Reel,3588,7013,183,1/20/2023
119,Instagram,Ad,1767,4504,261,1/21/2023
120,Facebook,Post,3423,8211,306,1/22/2023
121,Facebook,Ad,1815,8293,354,1/22/2023
122,Facebook,Story,210,717,34,1/22/2023
123,Instagram,Story,2380,9028,796,1/22/2023
124,Instagram,Post,3352,11146,304,1/22/2023
125,Instagram,Post,2152,8074,151,1/22/2023
126,Twitter,Reel,1182,3021,134,1/22/2023
127,Twitter,Story,1076,2816,83,1/22/2023
128,Twitter,Ad,699,708,57,1/22/2023
129,Facebook,Story,193,311,23,1/23/2023
130,Facebook,Story,1772,2840,97,1/23/2023
131,Facebook,Story,3944,8621,58,1/23/2023
132,Facebook,Reel,4928,22608,1859,1/24/2023
133,Facebook,Ad,2301,10787,1065,1/24/2023
134,Instagram,Ad,3418,6336,134,1/24/2023
135,Twitter,Post,4245,9691,923,1/24/2023
136,Twitter,Reel,1855,2310,148,1/24/2023
137,Facebook,Reel,1941,7738,427,1/25/2023
138,Facebook,Story,3340,4252,82,1/25/2023
139,Facebook,Ad,3603,3608,13,1/25/2023
140,Twitter,Post,1472,6461,626,1/25/2023
141,Twitter,Story,3192,11527,1111,1/25/2023
142,Facebook,Post,3598,8035,438,1/26/2023
143,Twitter,Story,2658,5936,425,1/26/2023
144,Twitter,Story,3622,3846,29,1/26/2023
145,Facebook,Reel,4315,18529,1581,1/27/2023
146,Instagram,Post,3002,13661,454,1/27/2023
147,Instagram,Reel,1588,5896,268,1/27/2023
148,Twitter,Reel,2165,6598,55,1/27/2023
149,Twitter,Ad,2427,11343,579,1/27/2023
150,Facebook,Reel,4865,7167,608,1/28/2023
151,Twitter,Reel,1747,2880,218,1/28/2023
152,Twitter,Ad,3090,7418,67,1/28/2023
153,Instagram,Reel,2644,10545,613,1/29/2023
154,Instagram,Post,1422,4800,157,1/29/2023
155,Twitter,Reel,793,2677,263,1/29/2023
